team_name,team_region,world_ranking,valve_ranking,avg_player_age,current_winstreak,winrate,map_winrates,coach_url,player_urls
Nemiga,Europe,#56,#35,21.8,1,71.1,"{'Ancient': '71.4', 'Anubis': '64.7', 'Dust2': '50.0', 'Inferno': '100.0', 'Mirage': '50.0', 'Nuke': '56.2', 'Overpass': '81.8', 'Train': None, 'Vertigo': None}",https://www.hltv.org/coach/13976/box,"['https://www.hltv.org/player/19920/kair0n', 'https://www.hltv.org/player/21266/1eer', 'https://www.hltv.org/player/22325/sowalio', 'https://www.hltv.org/player/23317/khan', 'https://www.hltv.org/player/23319/syph0']"
1win,Russia,#67,#55,22.1,0,60.7,"{'Ancient': '46.2', 'Anubis': '50.0', 'Dust2': '61.9', 'Inferno': '75.0', 'Mirage': '66.7', 'Nuke': None, 'Overpass': '75.0', 'Train': None, 'Vertigo': None}",https://www.hltv.org/coach/7951/cau,"['https://www.hltv.org/player/13239/qikert', 'https://www.hltv.org/player/20700/lattykk', 'https://www.hltv.org/player/23477/reyoz', 'https://www.hltv.org/player/23770/cronuss', 'https://www.hltv.org/player/23771/oz1k']"
Sangal,Europe,#69,#91,,4,53.8,"{'Ancient': '42.9', 'Anubis': '33.3', 'Dust2': '37.5', 'Inferno': '62.5', 'Mirage': '61.5', 'Nuke': '62.5', 'Overpass': '0.0', 'Train': None, 'Vertigo': None}",https://www.hltv.org/coach/153/jumpy,"['https://www.hltv.org/player/12004/clax', 'https://www.hltv.org/player/19673/patsi', 'https://www.hltv.org/player/21139/pr1metapz', 'https://www.hltv.org/player/25110/r4dyx']"
KOLESIE,Poland,#71,#93,24.7,0,51.4,"{'Ancient': '63.2', 'Anubis': '45.5', 'Dust2': '37.5', 'Inferno': None, 'Mirage': '50.0', 'Nuke': '73.3', 'Overpass': '25.0', 'Train': None, 'Vertigo': None}",https://www.hltv.org/coach/973/szpero,"['https://www.hltv.org/player/3669/innocent', 'https://www.hltv.org/player/20018/fr3nd', 'https://www.hltv.org/player/20637/b1elany', 'https://www.hltv.org/player/20960/ex1st', 'https://www.hltv.org/player/22473/qlocuu']"
JohnnySpeeds,Sweden,#58,#68,26.5,2,51.1,"{'Ancient': '60.0', 'Anubis': '14.3', 'Dust2': '33.3', 'Inferno': '40.0', 'Mirage': '55.6', 'Nuke': '20.0', 'Overpass': '84.6', 'Train': None, 'Vertigo': None}",https://www.hltv.org/coach/7148/friberg,"['https://www.hltv.org/player/9261/lekr0', 'https://www.hltv.org/player/13670/nawwk', 'https://www.hltv.org/player/15569/sapec', 'https://www.hltv.org/player/16029/heap', 'https://www.hltv.org/player/22759/jocab']"
Acend,Bulgaria,#60,#75,25.3,0,58.5,"{'Ancient': '55.6', 'Anubis': '100.0', 'Dust2': '23.5', 'Inferno': '78.6', 'Mirage': '52.6', 'Nuke': None, 'Overpass': '33.3', 'Train': None, 'Vertigo': None}",https://www.hltv.org/coach/20388/milky,"['https://www.hltv.org/player/11217/spellan', 'https://www.hltv.org/player/15369/redstar', 'https://www.hltv.org/player/15385/kaluber', 'https://www.hltv.org/player/20097/h4rn', 'https://www.hltv.org/player/21657/skrimo']"
9INE,Denmark,#73,#86,,0,43.3,"{'Ancient': '80.0', 'Anubis': '50.0', 'Dust2': '25.0', 'Inferno': '20.0', 'Mirage': None, 'Nuke': '80.0', 'Overpass': '60.0', 'Train': None, 'Vertigo': None}",https://www.hltv.org/coach/921/berry,"['https://www.hltv.org/player/2898/raalz', 'https://www.hltv.org/player/20300/kraghen', 'https://www.hltv.org/player/21715/flayy']"
CYBERSHOKE,Russia,#75,#64,22.4,0,54.5,"{'Ancient': '73.3', 'Anubis': '50.0', 'Dust2': '57.1', 'Inferno': None, 'Mirage': '41.2', 'Nuke': '66.7', 'Overpass': '0.0', 'Train': None, 'Vertigo': None}",https://www.hltv.org/coach/3499/pixel,"['https://www.hltv.org/player/17508/glowiing', 'https://www.hltv.org/player/20430/alpha', 'https://www.hltv.org/player/22803/bl1x1', 'https://www.hltv.org/player/24176/mokuj1n', 'https://www.hltv.org/player/24569/fluffy']"
OG,Europe,#62,#78,26.0,0,50.0,"{'Ancient': '50.0', 'Anubis': None, 'Dust2': '40.0', 'Inferno': '80.0', 'Mirage': None, 'Nuke': '33.3', 'Overpass': '50.0', 'Train': None, 'Vertigo': None}",https://www.hltv.org/coach/8047/lambert,"['https://www.hltv.org/player/7964/cadian', 'https://www.hltv.org/player/8374/bodyy', 'https://www.hltv.org/player/19064/spooke', 'https://www.hltv.org/player/20465/arrozdoce', 'https://www.hltv.org/player/20878/adamb']"
INOXDivision,Russia,#64,#77,22.5,0,79.2,"{'Ancient': '75.0', 'Anubis': '75.0', 'Dust2': '78.6', 'Inferno': '70.0', 'Mirage': None, 'Nuke': '64.3', 'Overpass': '66.7', 'Train': None, 'Vertigo': None}",https://www.hltv.org/coach/25799/iqlity,"['https://www.hltv.org/player/22430/k0s', 'https://www.hltv.org/player/22879/fenomen', 'https://www.hltv.org/player/22883/k1slll', 'https://www.hltv.org/player/22961/finw', 'https://www.hltv.org/player/25423/gooddeph']"
