team_won,team_lost,stars_of_tournament,shape,event_name,score,time,team1,team2,target
HEROIC,Complexity,3,bo3,BLAST Premier Fall Groups 2024,0 - 2,Results for July 29th 2024,Complexity,HEROIC,0
Permitta,HAVU,0,bo3,Elisa Invitational Fall 2024 Contenders,2 - 0,Results for July 29th 2024,Permitta,HAVU,1
1WIN,NOM,0,bo3,BetBoom Dacha Belgrade Season 2 Europe Closed Qualifier,0 - 2,Results for July 29th 2024,NOM,1WIN,0
CatEvil,Bromo,0,bo3,IEM Rio 2024 Asia Open Qualifier 2,0 - 2,Results for July 29th 2024,Bromo,CatEvil,0
SINNERS,Alliance,0,bo3,YaLLa Compass Summer 2024 Contenders,2 - 0,Results for July 29th 2024,SINNERS,Alliance,1
DASH,ECLOT,0,bo3,Elisa Invitational Fall 2024 Contenders,1 - 2,Results for July 29th 2024,ECLOT,DASH,0
CYBERSHOKE,Sampi,0,bo3,Hellcase Cup 10,0 - 2,Results for July 29th 2024,Sampi,CYBERSHOKE,0
Spirit,OG,1,bo3,BLAST Premier Fall Groups 2024,2 - 0,Results for July 29th 2024,Spirit,OG,1
CatEvil,-72c,0,anb,IEM Rio 2024 Asia Open Qualifier 2,13 - 16,Results for July 29th 2024,-72c,CatEvil,0
Into the Breach,Passion UA,0,bo3,CCT Season 2 Europe Series 7,0 - 2,Results for July 29th 2024,Passion UA,Into the Breach,0
GUN5,TSM,0,bo3,BetBoom Dacha Belgrade Season 2 Europe Closed Qualifier,2 - 0,Results for July 29th 2024,GUN5,TSM,1
Bromo,GR,0,anc,IEM Rio 2024 Asia Open Qualifier 2,13 - 10,Results for July 29th 2024,Bromo,GR,1
Vibe,The Nomads,0,bo3,CCT Season 2 North America Series 2,2 - 1,Results for July 29th 2024,Vibe,The Nomads,1
paiN,Imperial,0,bo3,IEM Rio 2024 South America Closed Qualifier,1 - 2,Results for July 29th 2024,Imperial,paiN,0
MIBR,RED Canids,0,bo3,IEM Rio 2024 South America Closed Qualifier,2 - 1,Results for July 29th 2024,MIBR,RED Canids,1
BESTIA,Vikings KR,0,bo3,BetBoom Dacha Belgrade Season 2 South America Closed Qualifier,2 - 1,Results for July 29th 2024,BESTIA,Vikings KR,1
TSM Impact,Nouns fe,0,bo3,ESL Impact Summer 2024 Cash Cup 2 North America,2 - 1,Results for July 29th 2024,TSM Impact,Nouns fe,1
NoVum,Victorum,0,bo3,CCT Season 2 North America Series 2,0 - 2,Results for July 29th 2024,Victorum,NoVum,0
Solid,Bounty Hunters,0,bo3,BetBoom Dacha Belgrade Season 2 South America Closed Qualifier,2 - 0,Results for July 29th 2024,Solid,Bounty Hunters,1
Permitta,BC.Game,0,bo3,CCT Season 2 Europe Series 7,2 - 1,Results for July 29th 2024,Permitta,BC.Game,1
paiN,RED Canids,0,bo3,IEM Rio 2024 South America Closed Qualifier,2 - 0,Results for July 29th 2024,paiN,RED Canids,1
Imperial,MIBR,0,bo3,IEM Rio 2024 South America Closed Qualifier,2 - 0,Results for July 29th 2024,Imperial,MIBR,1
9 Pandas,QUAZAR,0,bo3,BetBoom Dacha Belgrade Season 2 Europe Closed Qualifier,2 - 1,Results for July 28th 2024,9 Pandas,QUAZAR,1
Bounty Hunters,Vikings KR,0,bo3,Circuito Estadual FERJEE 2024,2 - 1,Results for July 28th 2024,Bounty Hunters,Vikings KR,1
Sharks,Bad News Chickens,0,bo3,Circuito Estadual FERJEE 2024,2 - 0,Results for July 28th 2024,Sharks,Bad News Chickens,1
Intense,Fluxo,0,bo3,BetBoom Dacha Belgrade Season 2 South America Closed Qualifier,0 - 2,Results for July 28th 2024,Fluxo,Intense,0
Sangal,fnatic,0,bo3,CCT Season 2 Europe Series 6,2 - 1,Results for July 28th 2024,Sangal,fnatic,1
Sampi,CPH Wolves,0,bo3,CCT Season 2 Europe Series 7,2 - 1,Results for July 28th 2024,Sampi,CPH Wolves,1
Case,Solid,0,bo3,Circuito Estadual FERJEE 2024,2 - 1,Results for July 28th 2024,Case,Solid,1
3DMAX,The MongolZ,1,bo3,Skyesports Championship 2024,0 - 2,Results for July 28th 2024,The MongolZ,3DMAX,0
Legacy,Smoke,0,bo3,BetBoom Dacha Belgrade Season 2 South America Closed Qualifier,2 - 1,Results for July 28th 2024,Legacy,Smoke,1
Insilio,Metizport,0,bo3,BetBoom Dacha Belgrade Season 2 Europe Closed Qualifier,2 - 0,Results for July 28th 2024,Insilio,Metizport,1
Spirit fe,K10 Ashes,0,bo3,ESL Impact Summer 2024 Cash Cup 2 Europe,0 - 2,Results for July 28th 2024,K10 Ashes,Spirit fe,0
Vikings KR,SENSEI,0,bo3,Circuito Estadual FERJEE 2024,0 - 2,Results for July 28th 2024,SENSEI,Vikings KR,0
GUN5,Astralis Talent,0,bo3,CCT Season 2 Europe Series 7,2 - 0,Results for July 28th 2024,GUN5,Astralis Talent,1
fnatic,SAW,1,bo3,CCT Season 2 Europe Series 6,2 - 0,Results for July 28th 2024,fnatic,SAW,1
CatEvil,Niory,0,anc,IEM Rio 2024 Asia Open Qualifier 2,13 - 1,Results for July 28th 2024,CatEvil,Niory,1
3DMAX,Aurora,1,bo3,Skyesports Championship 2024,1 - 2,Results for July 28th 2024,Aurora,3DMAX,0
1WIN,TSM,0,bo3,BetBoom Dacha Belgrade Season 2 Europe Closed Qualifier,0 - 2,Results for July 28th 2024,TSM,1WIN,0
GR,AY,0,mrg,IEM Rio 2024 Asia Open Qualifier 2,13 - 10,Results for July 28th 2024,GR,AY,1
-72c,Steel Helmet,0,mrg,IEM Rio 2024 Asia Open Qualifier 2,4 - 13,Results for July 28th 2024,Steel Helmet,-72c,0
Bromo,NKT,0,anc,IEM Rio 2024 Asia Open Qualifier 2,3 - 13,Results for July 28th 2024,NKT,Bromo,0
Sangal,Monte,0,bo3,CCT Season 2 Europe Series 6,1 - 2,Results for July 28th 2024,Monte,Sangal,0
Endpoint,Space,0,bo3,CCT Season 2 Europe Series 7,1 - 2,Results for July 28th 2024,Space,Endpoint,0
NOM,GUN5,0,bo3,BetBoom Dacha Belgrade Season 2 Europe Closed Qualifier,1 - 2,Results for July 28th 2024,GUN5,NOM,0
The MongolZ,Eternal Fire,2,bo3,Skyesports Championship 2024,0 - 2,Results for July 28th 2024,Eternal Fire,The MongolZ,0
Final Form,jahsdnmasjdm,0,bo3,CCT Season 2 North America Series 2,2 - 1,Results for July 28th 2024,Final Form,jahsdnmasjdm,1
MIBR fe,panelinha,0,bo3,ESL Impact Summer 2024 Cash Cup 2 South America,2 - 1,Results for July 28th 2024,MIBR fe,panelinha,1
ODDIK,Galorys,0,bo3,KaBuM! Legends 2024,2 - 1,Results for July 28th 2024,ODDIK,Galorys,1
Homyno,Revenge Nation,0,bo3,CCT Season 2 North America Series 2,2 - 0,Results for July 28th 2024,Homyno,Revenge Nation,1
SAW,Passion UA,0,bo3,CCT Season 2 Europe Series 6,2 - 1,Results for July 28th 2024,SAW,Passion UA,1
Monte,Into the Breach,0,bo3,CCT Season 2 Europe Series 7,2 - 0,Results for July 28th 2024,Monte,Into the Breach,1
1WIN,CPH Wolves,0,bo3,CCT Season 2 Europe Series 7,2 - 1,Results for July 27th 2024,1WIN,CPH Wolves,1
Case,Patins da Ferrari,0,bo3,KaBuM! Legends 2024,0 - 2,Results for July 27th 2024,Patins da Ferrari,Case,0
fnatic,MOUZ NXT,0,bo3,CCT Season 2 Europe Series 6,2 - 1,Results for July 27th 2024,fnatic,MOUZ NXT,1
3DMAX,ENCE,1,bo3,Skyesports Championship 2024,2 - 0,Results for July 27th 2024,3DMAX,ENCE,1
Bad News Chickens,W7M,0,bo3,Circuito Estadual FERJEE 2024,2 - 0,Results for July 27th 2024,Bad News Chickens,W7M,1
CYBERSHOKE,EYEBALLERS,0,bo3,CCT Season 2 Europe Series 7,0 - 2,Results for July 27th 2024,EYEBALLERS,CYBERSHOKE,0
Monte,9z,1,bo3,CCT Season 2 Europe Series 6,0 - 2,Results for July 27th 2024,9z,Monte,0
The MongolZ,AMKAL,1,bo3,Skyesports Championship 2024,2 - 0,Results for July 27th 2024,The MongolZ,AMKAL,1
9INE,Aurora Young Blud,0,bo3,CCT Season 2 Europe Series 7,1 - 2,Results for July 27th 2024,Aurora Young Blud,9INE,0
Rare Atom,NomadS,0,bo3,IEM Rio 2024 Asia Open Qualifier 1,2 - 0,Results for July 27th 2024,Rare Atom,NomadS,1
NomadS,Bromo,0,anc,IEM Rio 2024 Asia Open Qualifier 1,13 - 16,Results for July 27th 2024,Bromo,NomadS,0
Sangal,B8,0,bo3,CCT Season 2 Europe Series 6,0 - 2,Results for July 27th 2024,B8,Sangal,0
Rare Atom,CatEvil,0,anb,IEM Rio 2024 Asia Open Qualifier 1,13 - 3,Results for July 27th 2024,Rare Atom,CatEvil,1
Galorys,Case,0,bo3,KaBuM! Legends 2024,2 - 0,Results for July 27th 2024,Galorys,Case,1
undefined,Akimbo,0,bo3,CCT Season 2 North America Series 2,0 - 2,Results for July 27th 2024,Akimbo,undefined,0
Imperial,Fluxo,0,bo3,IEM Rio 2024 South America Open Qualifier 2,1 - 2,Results for July 27th 2024,Fluxo,Imperial,0
E-Xolos LAZER,Vibe,0,bo3,CCT Season 2 North America Series 2,2 - 0,Results for July 27th 2024,E-Xolos LAZER,Vibe,1
ODDIK,Patins da Ferrari,0,bo3,KaBuM! Legends 2024,0 - 2,Results for July 27th 2024,Patins da Ferrari,ODDIK,0
Imperial,Sharks,0,mrg,IEM Rio 2024 South America Open Qualifier 2,13 - 8,Results for July 27th 2024,Imperial,Sharks,1
Fluxo,W7M,0,nuke,IEM Rio 2024 South America Open Qualifier 2,2 - 13,Results for July 27th 2024,W7M,Fluxo,0
Permitta,Space,0,bo3,CCT Season 2 Europe Series 7,0 - 2,Results for July 26th 2024,Space,Permitta,0
Passion UA,Gaimin Gladiators,0,bo3,CCT Season 2 Europe Series 6,0 - 2,Results for July 26th 2024,Gaimin Gladiators,Passion UA,0
ODDIK,RED Canids,0,bo3,Circuito Estadual FERJEE 2024,0 - 2,Results for July 26th 2024,RED Canids,ODDIK,0
Solid,Fluxo,0,bo3,Circuito Estadual FERJEE 2024,1 - 2,Results for July 26th 2024,Fluxo,Solid,0
Sampi,Endpoint,0,bo3,CCT Season 2 Europe Series 7,2 - 0,Results for July 26th 2024,Sampi,Endpoint,1
BLEED,PARIVISION,0,mrg,Skyesports Championship 2024,19 - 17,Results for July 26th 2024,BLEED,PARIVISION,1
KOI,EYEBALLERS,0,bo3,ESL Challenger League Season 48 Europe,2 - 0,Results for July 26th 2024,KOI,EYEBALLERS,1
Sangal,Permitta,0,bo3,CCT Season 2 Europe Series 6,2 - 0,Results for July 26th 2024,Sangal,Permitta,1
BC.Game,GUN5,0,bo3,CCT Season 2 Europe Series 7,1 - 2,Results for July 26th 2024,GUN5,BC.Game,0
ODDIK,Patins da Ferrari,0,bo3,Circuito Estadual FERJEE 2024,2 - 0,Results for July 26th 2024,ODDIK,Patins da Ferrari,1
Eternal Fire,3DMAX,1,anb,Skyesports Championship 2024,16 - 14,Results for July 26th 2024,Eternal Fire,3DMAX,1
fnatic,Sampi,0,bo3,CCT Season 2 Europe Series 6,2 - 0,Results for July 26th 2024,fnatic,Sampi,1
ENCE,True Rippers,0,nuke,Skyesports Championship 2024,13 - 5,Results for July 26th 2024,ENCE,True Rippers,1
NomadS,GR,0,anc,IEM Rio 2024 Asia Open Qualifier 1,2 - 13,Results for July 26th 2024,GR,NomadS,0
CatEvil,FengDa,0,anc,IEM Rio 2024 Asia Open Qualifier 1,13 - 10,Results for July 26th 2024,CatEvil,FengDa,1
Bromo,The Huns,0,mrg,IEM Rio 2024 Asia Open Qualifier 1,13 - 8,Results for July 26th 2024,Bromo,The Huns,1
Rare Atom,IHC,0,anb,IEM Rio 2024 Asia Open Qualifier 1,13 - 4,Results for July 26th 2024,Rare Atom,IHC,1
Passion UA,Astralis Talent,0,bo3,CCT Season 2 Europe Series 7,2 - 1,Results for July 26th 2024,Passion UA,Astralis Talent,1
The MongolZ,Aurora,1,anc,Skyesports Championship 2024,13 - 4,Results for July 26th 2024,The MongolZ,Aurora,1
Monte,Space,0,bo3,CCT Season 2 Europe Series 6,2 - 0,Results for July 26th 2024,Monte,Space,1
PARIVISION,True Rippers,0,anb,Skyesports Championship 2024,13 - 7,Results for July 26th 2024,PARIVISION,True Rippers,1
AMKAL,DMS,0,d2,Skyesports Championship 2024,13 - 7,Results for July 26th 2024,AMKAL,DMS,1
Aurora,BLEED,0,mrg,Skyesports Championship 2024,6 - 13,Results for July 26th 2024,BLEED,Aurora,0
DMS,Revenant,0,mrg,Skyesports Championship 2024,13 - 5,Results for July 26th 2024,DMS,Revenant,1
FLUFFY AIMERS,NoVum,0,bo3,CCT Season 2 North America Series 2,2 - 0,Results for July 26th 2024,FLUFFY AIMERS,NoVum,1
Sharks,BESTIA,0,mrg,IEM Rio 2024 South America Open Qualifier 2,11 - 13,Results for July 26th 2024,BESTIA,Sharks,0
Fluxo,Hype,0,nuke,IEM Rio 2024 South America Open Qualifier 2,13 - 6,Results for July 26th 2024,Fluxo,Hype,1
Imperial,Solid,0,inf,IEM Rio 2024 South America Open Qualifier 2,7 - 13,Results for July 26th 2024,Solid,Imperial,0
W7M,ODDIK,0,nuke,IEM Rio 2024 South America Open Qualifier 2,2 - 13,Results for July 26th 2024,ODDIK,W7M,0
Sharks,Patins da Ferrari,0,mrg,IEM Rio 2024 South America Open Qualifier 2,16 - 13,Results for July 26th 2024,Sharks,Patins da Ferrari,1
Hype,inSanitY,0,mrg,IEM Rio 2024 South America Open Qualifier 2,6 - 13,Results for July 26th 2024,inSanitY,Hype,0
Imperial,Yawara,0,d2,IEM Rio 2024 South America Open Qualifier 2,13 - 3,Results for July 26th 2024,Imperial,Yawara,1
Fluxo,Imperium Nexus,0,anc,IEM Rio 2024 South America Open Qualifier 2,13 - 6,Results for July 26th 2024,Fluxo,Imperium Nexus,1
BESTIA,Bad News Chickens,0,mrg,IEM Rio 2024 South America Open Qualifier 2,9 - 13,Results for July 26th 2024,Bad News Chickens,BESTIA,0
W7M,Bounty Hunters,0,nuke,IEM Rio 2024 South America Open Qualifier 2,8 - 13,Results for July 26th 2024,Bounty Hunters,W7M,0
Solid,amigos,0,anb,IEM Rio 2024 South America Open Qualifier 2,13 - 6,Results for July 26th 2024,Solid,amigos,1
ODDIK,LaChampionsLiga,0,nuke,IEM Rio 2024 South America Open Qualifier 2,13 - 2,Results for July 26th 2024,ODDIK,LaChampionsLiga,1
DETONATE,LAG,0,bo3,CCT Season 2 North America Series 2,0 - 2,Results for July 26th 2024,LAG,DETONATE,0
MIBR,Galorys,0,vtg,ESL Challenger League Season 48 South America,7 - 13,Results for July 25th 2024,Galorys,MIBR,0
EYEBALLERS,Passion UA,0,bo3,CCT Season 2 Europe Series 7,0 - 2,Results for July 25th 2024,Passion UA,EYEBALLERS,0
Bounty Hunters,SENSEI,0,bo3,Circuito Estadual FERJEE 2024,0 - 2,Results for July 25th 2024,SENSEI,Bounty Hunters,0
B8,SINNERS,0,bo3,CCT Season 2 Europe Series 6,2 - 0,Results for July 25th 2024,B8,SINNERS,1
Vikings KR,Vex Dragons,0,bo3,Circuito Estadual FERJEE 2024,0 - 2,Results for July 25th 2024,Vex Dragons,Vikings KR,0
MIBR,Galorys,0,anb,ESL Challenger League Season 48 South America,13 - 6,Results for July 25th 2024,MIBR,Galorys,1
9z,RUBY,1,bo3,CCT Season 2 Europe Series 6,2 - 1,Results for July 25th 2024,9z,RUBY,1
Into the Breach,Permitta,0,bo3,CCT Season 2 Europe Series 7,1 - 2,Results for July 25th 2024,Permitta,Into the Breach,0
Bounty Hunters,Vikings KR,0,bo3,Circuito Estadual FERJEE 2024,2 - 1,Results for July 25th 2024,Bounty Hunters,Vikings KR,1
SENSEI,Vex Dragons,0,bo3,Circuito Estadual FERJEE 2024,2 - 0,Results for July 25th 2024,SENSEI,Vex Dragons,1
Aurora,True Rippers,0,anc,Skyesports Championship 2024,5 - 13,Results for July 25th 2024,True Rippers,Aurora,0
ECLOT,HAVU,0,bo3,Elisa Invitational Fall 2024 Contenders,2 - 1,Results for July 25th 2024,ECLOT,HAVU,1
CYBERSHOKE,GUN5,0,bo3,CCT Season 2 Europe Series 7,0 - 2,Results for July 25th 2024,GUN5,CYBERSHOKE,0
ENCE,PARIVISION,0,d2,Skyesports Championship 2024,7 - 13,Results for July 25th 2024,PARIVISION,ENCE,0
3DMAX,Revenant,0,nuke,Skyesports Championship 2024,13 - 0,Results for July 25th 2024,3DMAX,Revenant,1
SAW,BC.Game,0,bo3,CCT Season 2 Europe Series 6,2 - 0,Results for July 25th 2024,SAW,BC.Game,1
MOUZ NXT,Aurora Young Blud,0,bo3,CCT Season 2 Europe Series 6,2 - 1,Results for July 25th 2024,MOUZ NXT,Aurora Young Blud,1
Eternal Fire,AMKAL,1,d2,Skyesports Championship 2024,13 - 5,Results for July 25th 2024,Eternal Fire,AMKAL,1
BLEED,The MongolZ,1,mrg,Skyesports Championship 2024,11 - 13,Results for July 25th 2024,The MongolZ,BLEED,0
Monte,Endpoint,0,bo3,CCT Season 2 Europe Series 7,2 - 0,Results for July 25th 2024,Monte,Endpoint,1
kONO,Nexus,0,bo3,Elisa Invitational Fall 2024 Contenders,2 - 0,Results for July 25th 2024,kONO,Nexus,1
Passion UA,9INE,0,bo5,European Pro League Season 17,3 - 0,Results for July 25th 2024,Passion UA,9INE,1
Aurora,ENCE,1,anc,Skyesports Championship 2024,16 - 14,Results for July 25th 2024,Aurora,ENCE,1
3DMAX,DMS,0,inf,Skyesports Championship 2024,5 - 13,Results for July 25th 2024,DMS,3DMAX,0
Take Flyte,The Nomads,0,bo3,CCT Season 2 North America Series 2,2 - 1,Results for July 25th 2024,Take Flyte,The Nomads,1
E-Xolos LAZER,FLUFFY AIMERS,0,anc,ESL Challenger League Season 48 North America,13 - 8,Results for July 25th 2024,E-Xolos LAZER,FLUFFY AIMERS,1
LAG,Limitless,0,anc,ESL Challenger League Season 48 North America,8 - 13,Results for July 25th 2024,Limitless,LAG,0
Nouns,Elevate,0,anb,ESL Challenger League Season 48 North America,4 - 13,Results for July 25th 2024,Elevate,Nouns,0
FLUFFY AIMERS,E-Xolos LAZER,0,mrg,ESL Challenger League Season 48 North America,13 - 9,Results for July 25th 2024,FLUFFY AIMERS,E-Xolos LAZER,1
RED Canids,Fluxo,0,bo3,IEM Rio 2024 South America Open Qualifier 1,1 - 2,Results for July 25th 2024,Fluxo,RED Canids,0
LAG,Limitless,0,anb,ESL Challenger League Season 48 North America,13 - 4,Results for July 25th 2024,LAG,Limitless,1
Nouns,Elevate,0,d2,ESL Challenger League Season 48 North America,13 - 3,Results for July 25th 2024,Nouns,Elevate,1
Perseverance,Victorum,0,bo3,CCT Season 2 North America Series 2,2 - 0,Results for July 25th 2024,Perseverance,Victorum,1
RED Canids,ODDIK,0,anb,IEM Rio 2024 South America Open Qualifier 1,16 - 14,Results for July 25th 2024,RED Canids,ODDIK,1
Fluxo,Solid,0,anc,IEM Rio 2024 South America Open Qualifier 1,7 - 13,Results for July 25th 2024,Solid,Fluxo,0
Aurora Young Blud,Astralis Talent,0,bo3,CCT Season 2 Europe Series 7,2 - 0,Results for July 25th 2024,Aurora Young Blud,Astralis Talent,1
Sashi,Monte,0,bo3,ESL Challenger League Season 48 Europe,1 - 2,Results for July 24th 2024,Monte,Sashi,0
Sharks,Bad News Chickens,0,bo3,Circuito Estadual FERJEE 2024,2 - 0,Results for July 24th 2024,Sharks,Bad News Chickens,1
W7M,Yawara,0,bo3,Circuito Estadual FERJEE 2024,0 - 2,Results for July 24th 2024,Yawara,W7M,0
1WIN,BC.Game,0,bo3,CCT Season 2 Europe Series 7,2 - 1,Results for July 24th 2024,1WIN,BC.Game,1
Bad News Chickens,W7M,0,bo3,Circuito Estadual FERJEE 2024,2 - 1,Results for July 24th 2024,Bad News Chickens,W7M,1
Rebels,SAW,0,bo3,ESL Challenger League Season 48 Europe,0 - 2,Results for July 24th 2024,SAW,Rebels,0
Sharks,Yawara,0,bo3,Circuito Estadual FERJEE 2024,2 - 0,Results for July 24th 2024,Sharks,Yawara,1
Zero Tenacity,Insilio,0,bo3,ESL Challenger League Season 48 Europe,2 - 1,Results for July 24th 2024,Zero Tenacity,Insilio,1
The MongolZ,ENCE,1,mrg,Skyesports Championship 2024,13 - 5,Results for July 24th 2024,The MongolZ,ENCE,1
AMKAL,Revenant,0,nuke,Skyesports Championship 2024,4 - 13,Results for July 24th 2024,Revenant,AMKAL,0
9INE,Sampi,0,bo3,CCT Season 2 Europe Series 7,0 - 2,Results for July 24th 2024,Sampi,9INE,0
ALTERNATE aTTaX,Lilmix,0,bo3,Elisa Invitational Fall 2024 Contenders,2 - 1,Results for July 24th 2024,ALTERNATE aTTaX,Lilmix,1
BLEED,True Rippers,0,anb,Skyesports Championship 2024,10 - 13,Results for July 24th 2024,True Rippers,BLEED,0
Eternal Fire,DMS,1,inf,Skyesports Championship 2024,13 - 6,Results for July 24th 2024,Eternal Fire,DMS,1
CPH Wolves,Space,0,bo3,CCT Season 2 Europe Series 7,1 - 2,Results for July 24th 2024,Space,CPH Wolves,0
PARIVISION,The MongolZ,1,mrg,Skyesports Championship 2024,11 - 13,Results for July 24th 2024,The MongolZ,PARIVISION,0
3DMAX,AMKAL,0,nuke,Skyesports Championship 2024,16 - 14,Results for July 24th 2024,3DMAX,AMKAL,1
Meteor,Permitta,0,bo3,Elisa Invitational Fall 2024 Contenders,1 - 2,Results for July 24th 2024,Permitta,Meteor,0
ENCE,BLEED,0,mrg,Skyesports Championship 2024,13 - 5,Results for July 24th 2024,ENCE,BLEED,1
9INE,Rebels,0,bo3,European Pro League Season 17,0 - 2,Results for July 24th 2024,Rebels,9INE,0
Eternal Fire,Revenant,1,nuke,Skyesports Championship 2024,13 - 6,Results for July 24th 2024,Eternal Fire,Revenant,1
Aurora,PARIVISION,0,anb,Skyesports Championship 2024,13 - 8,Results for July 24th 2024,Aurora,PARIVISION,1
Nouns,Limitless,0,anb,ESL Challenger League Season 48 North America,7 - 13,Results for July 24th 2024,Limitless,Nouns,0
Party Astronauts,FLUFFY AIMERS,0,mrg,ESL Challenger League Season 48 North America,9 - 13,Results for July 24th 2024,FLUFFY AIMERS,Party Astronauts,0
Nouns,Limitless,0,mrg,ESL Challenger League Season 48 North America,13 - 5,Results for July 24th 2024,Nouns,Limitless,1
FLUFFY AIMERS,Party Astronauts,0,anb,ESL Challenger League Season 48 North America,4 - 13,Results for July 24th 2024,Party Astronauts,FLUFFY AIMERS,0
RED Canids,KRÜ,0,nuke,IEM Rio 2024 South America Open Qualifier 1,22 - 20,Results for July 24th 2024,RED Canids,KRÜ,1
Solid,Imperial,0,anb,IEM Rio 2024 South America Open Qualifier 1,9 - 13,Results for July 24th 2024,Imperial,Solid,0
ODDIK,Sharks,0,anc,IEM Rio 2024 South America Open Qualifier 1,13 - 11,Results for July 24th 2024,ODDIK,Sharks,1
Fluxo,BESTIA,0,anc,IEM Rio 2024 South America Open Qualifier 1,13 - 6,Results for July 24th 2024,Fluxo,BESTIA,1
Galorys,Patins da Ferrari,0,bo3,CCT Season 2 South America Series 2,2 - 1,Results for July 24th 2024,Galorys,Patins da Ferrari,1
Solid,inSanitY,0,anb,IEM Rio 2024 South America Open Qualifier 1,8 - 13,Results for July 24th 2024,inSanitY,Solid,0
Sharks,W7M,0,nuke,IEM Rio 2024 South America Open Qualifier 1,3 - 13,Results for July 24th 2024,W7M,Sharks,0
BESTIA,Hype,0,d2,IEM Rio 2024 South America Open Qualifier 1,13 - 11,Results for July 24th 2024,BESTIA,Hype,1
RED Canids,LaChampionsLiga,0,nuke,IEM Rio 2024 South America Open Qualifier 1,4 - 13,Results for July 24th 2024,LaChampionsLiga,RED Canids,0
Imperial,Atrix,0,mrg,IEM Rio 2024 South America Open Qualifier 1,2 - 13,Results for July 24th 2024,Atrix,Imperial,0
KRÜ,Case,0,nuke,IEM Rio 2024 South America Open Qualifier 1,13 - 6,Results for July 24th 2024,KRÜ,Case,1
ODDIK,street dogs,0,def,IEM Rio 2024 South America Open Qualifier 1,0 - 1,Results for July 24th 2024,street dogs,ODDIK,0
Fluxo,Dusty Roots,0,nuke,IEM Rio 2024 South America Open Qualifier 1,1 - 13,Results for July 24th 2024,Dusty Roots,Fluxo,0
Case,Fluxo,0,bo3,Circuito Estadual FERJEE 2024,2 - 0,Results for July 23rd 2024,Case,Fluxo,1
Solid,Sharks Youngsters,0,bo3,Circuito Estadual FERJEE 2024,0 - 2,Results for July 23rd 2024,Sharks Youngsters,Solid,0
RUSH B,SINNERS,0,bo3,ESL Challenger League Season 48 Europe,0 - 2,Results for July 23rd 2024,SINNERS,RUSH B,0
Intense,Vikings KR,0,bo3,CCT Season 2 South America Series 2,0 - 2,Results for July 23rd 2024,Vikings KR,Intense,0
9 Pandas,Betera,0,bo3,ESL Challenger League Season 48 Europe,2 - 0,Results for July 23rd 2024,9 Pandas,Betera,1
Sampi,CPH Wolves,0,bo3,CCT Season 2 Europe Series 6,2 - 0,Results for July 23rd 2024,Sampi,CPH Wolves,1
Fluxo,Solid,0,bo3,Circuito Estadual FERJEE 2024,2 - 1,Results for July 23rd 2024,Fluxo,Solid,1
Case,Sharks Youngsters,0,bo3,Circuito Estadual FERJEE 2024,1 - 2,Results for July 23rd 2024,Sharks Youngsters,Case,0
Dusty Roots,Hype,0,bo3,CCT Season 2 South America Series 2,0 - 2,Results for July 23rd 2024,Hype,Dusty Roots,0
Sangal,brazylijski luz,0,bo3,ESL Challenger League Season 48 Europe,2 - 0,Results for July 23rd 2024,Sangal,brazylijski luz,1
BC.Game,GUN5,0,bo3,CCT Season 2 Europe Series 6,0 - 2,Results for July 23rd 2024,GUN5,BC.Game,0
Rhyno,FAVBET,0,bo3,Elisa Invitational Fall 2024 Contenders,2 - 1,Results for July 23rd 2024,Rhyno,FAVBET,1
Passion UA,9INE,0,bo3,European Pro League Season 17,2 - 0,Results for July 23rd 2024,Passion UA,9INE,1
RUBY,Metizport,0,bo3,CCT Season 2 Europe Series 6,0 - 2,Results for July 23rd 2024,Metizport,RUBY,0
The Art of War,Rooster,0,d2,ESL Challenger League Season 48 Oceania,13 - 10,Results for July 23rd 2024,The Art of War,Rooster,1
The MongolZ,True Rippers,1,anc,Skyesports Championship 2024,13 - 11,Results for July 23rd 2024,The MongolZ,True Rippers,1
KZG,DXA,0,vtg,ESL Challenger League Season 48 Oceania,6 - 13,Results for July 23rd 2024,DXA,KZG,0
Bad News Kangaroos,MANTRA,0,anb,ESL Challenger League Season 48 Oceania,13 - 3,Results for July 23rd 2024,Bad News Kangaroos,MANTRA,1
Mindfreak,Arcade,0,d2,ESL Challenger League Season 48 Oceania,1 - 13,Results for July 23rd 2024,Arcade,Mindfreak,0
TNL,EYEBALLERS,0,bo3,Elisa Invitational Fall 2024 Contenders,0 - 2,Results for July 23rd 2024,EYEBALLERS,TNL,0
The Art of War,Rooster,0,mrg,ESL Challenger League Season 48 Oceania,14 - 16,Results for July 23rd 2024,Rooster,The Art of War,0
KZG,DXA,0,nuke,ESL Challenger League Season 48 Oceania,13 - 10,Results for July 23rd 2024,KZG,DXA,1
Bad News Kangaroos,MANTRA,0,nuke,ESL Challenger League Season 48 Oceania,8 - 13,Results for July 23rd 2024,MANTRA,Bad News Kangaroos,0
Mindfreak,Arcade,0,nuke,ESL Challenger League Season 48 Oceania,13 - 6,Results for July 23rd 2024,Mindfreak,Arcade,1
Rebels,Enterprise,0,bo3,European Pro League Season 17,0 - 2,Results for July 23rd 2024,Enterprise,Rebels,0
KRÜ,Hype,0,bo3,CCT Season 2 South America Series 2,2 - 0,Results for July 23rd 2024,KRÜ,Hype,1
