date,event_name,winner_side,team1_name,team2_name,team1_score,team2_score,match_url,map1_team1_startside,map1_team2_startside,map1_round1_winner,map1_round2_winner,map1_round3_winner,map1_round4_winner,map1_round5_winner,map1_round6_winner,map1_round7_winner,map1_round8_winner,map1_round9_winner,map1_round10_winner,map1_round11_winner,map1_round12_winner,map1_round13_winner,map1_round14_winner,map1_round15_winner,map1_round16_winner,map1_round17_winner,map1_round18_winner,map1_round19_winner,map1_round20_winner,map1_round21_winner,map1_round22_winner,map1_round23_winner,map1_round24_winner,map2_team1_startside,map2_team2_startside,map2_round1_winner,map2_round2_winner,map2_round3_winner,map2_round4_winner,map2_round5_winner,map2_round6_winner,map2_round7_winner,map2_round8_winner,map2_round9_winner,map2_round10_winner,map2_round11_winner,map2_round12_winner,map2_round13_winner,map2_round14_winner,map2_round15_winner,map2_round16_winner,map2_round17_winner,map2_round18_winner,map2_round19_winner,map2_round20_winner,map2_round21_winner,map2_round22_winner,map2_round23_winner,map2_round24_winner,map3_team1_startside,map3_team2_startside,map3_round1_winner,map3_round2_winner,map3_round3_winner,map3_round4_winner,map3_round5_winner,map3_round6_winner,map3_round7_winner,map3_round8_winner,map3_round9_winner,map3_round10_winner,map3_round11_winner,map3_round12_winner,map3_round13_winner,map3_round14_winner,map3_round15_winner,map3_round16_winner,map3_round17_winner,map3_round18_winner,map3_round19_winner,map3_round20_winner,map3_round21_winner,map3_round22_winner,map3_round23_winner,map3_round24_winner,map1_winner,map2_winner,map3_winner
2025-09-12T12:20:00Z,FISSURE Playground 2,team1,Aurora,Astralis,2.0,1.0,https://www.hltv.org/matches/2385293/-,ct,t,team2,team2,team2,team1,team1,team2,team2,team1,team1,team1,team1,team2,team2,team2,team1,team2,team2,team1,team2,team2,team2,team2,team2,team2,t,ct,team1,team1,team1,team1,team2,team2,team1,team1,team1,team1,team1,team2,team1,team1,team2,team2,team2,team1,team2,team2,team2,team2,team2,team2,t,ct,team1,team1,team1,team2,team1,team1,team1,team2,team2,team1,team1,team2,team1,team1,team1,team2,team2,team2,team1,team2,team2,team1,team2,team2,team2,OT,team1
2025-09-12T13:00:00Z,ESL Challenger League Season 50 Europe Cup 2,team1,Sashi,JiJieHao,2.0,0.0,https://www.hltv.org/matches/2385494/-,t,ct,team1,team1,team2,team2,team2,team1,team2,team2,team2,team2,team1,team2,team1,team1,team1,team1,team1,team1,team1,team2,team1,team1,team2,team2,ct,t,team1,team2,team1,team2,team2,team2,team2,team2,team1,team2,team1,team2,team1,team1,team1,team2,team1,team1,team2,team1,team2,team2,team1,team1,,,,,,,,,,,,,,,,,,,,,,,,,,,team1,OT,NA
2025-09-12T13:30:00Z,ESEA Advanced Season 54 Europe,team1,Hesta,MINLATE,2.0,0.0,https://www.hltv.org/matches/2385532/-,ct,t,team1,team1,team1,team1,team2,team1,team2,team1,team1,team2,team1,team1,team1,team2,team2,team1,team1,team2,team1,team1,team2,team2,team2,team2,t,ct,team1,team1,team1,team1,team2,team2,team2,team1,team1,team1,team1,team1,team1,team2,team2,team2,team1,team2,team1,team1,team2,team2,team2,team1,,,,,,,,,,,,,,,,,,,,,,,,,,,team1,team1,NA
2025-09-12T13:00:00Z,ESL Challenger League Season 50 Europe Cup 2,team2,Betera,TPuDCATb TPu,0.0,2.0,https://www.hltv.org/matches/2385491/-,ct,t,team2,team1,team2,team2,team2,team1,team1,team1,team1,team1,team1,team2,team2,team2,team2,team2,team2,team2,team2,team2,team2,team2,team2,team2,ct,t,team2,team2,team2,team2,team2,team2,team2,team1,team1,team2,team1,team1,team2,team1,team1,team1,team1,team1,team1,team2,team2,team2,team2,team2,,,,,,,,,,,,,,,,,,,,,,,,,,,team2,team2,NA
2025-09-12T13:00:00Z,ESL Challenger League Season 50 Europe Cup 2,team2,Tricked,OG,0.0,2.0,https://www.hltv.org/matches/2385489/-,t,ct,team2,team2,team2,team1,team2,team2,team2,team1,team2,team2,team1,team2,team2,team2,team2,team1,team1,team1,team2,team2,team2,team2,team2,team2,ct,t,team1,team1,team1,team2,team1,team2,team2,team1,team2,team2,team2,team1,team2,team2,team2,team1,team1,team1,team2,team2,team2,team2,team2,team2,,,,,,,,,,,,,,,,,,,,,,,,,,,team2,team2,NA
2025-09-12T13:00:00Z,Galaxy Battle 2025 Phase 4 Closed Qualifier,team2,FORZE Reload,Eternal Fire,0.0,2.0,https://www.hltv.org/matches/2385534/-,ct,t,team2,team2,team2,team1,team2,team1,team1,team2,team2,team2,team1,team1,team2,team2,team2,team2,team2,team1,team1,team1,team2,team2,team2,team2,t,ct,team2,team2,team1,team1,team1,team2,team1,team2,team2,team2,team1,team1,team2,team2,team2,team2,team2,team2,team1,team2,team2,team2,team2,team2,,,,,,,,,,,,,,,,,,,,,,,,,,,team2,team2,NA
2025-09-12T13:00:00Z,Exort The Proving Grounds Season 4,team1,CYBERSHOKE,AaB,2.0,0.0,https://www.hltv.org/matches/2385452/-,t,ct,team1,team1,team1,team1,team1,team1,team1,team1,team2,team1,team1,team1,team1,team2,team2,team2,team2,team1,team1,team2,team2,team2,team2,team2,ct,t,team2,team2,team1,team1,team1,team2,team2,team1,team1,team1,team1,team2,team2,team2,team2,team2,team1,team1,team1,team1,team2,team1,team1,team2,,,,,,,,,,,,,,,,,,,,,,,,,,,team1,team1,NA
2025-09-12T11:00:00Z,Tipsport Cup Summer 2025 Finals,team2,GLORE,UNiTY,1.0,2.0,https://www.hltv.org/matches/2384973/-,ct,t,team2,team2,team2,team1,team1,team1,team1,team1,team1,team1,team2,team2,team1,team1,team1,team1,team1,team2,team2,team2,team2,team2,team1,team2,t,ct,team1,team2,team2,team2,team1,team1,team1,team1,team1,team1,team2,team1,team2,team1,team2,team2,team2,team1,team1,team2,team2,team2,team2,team2,t,ct,team2,team2,team2,team2,team2,team2,team1,team2,team2,team2,team2,team2,team1,team1,team2,team2,team2,team2,team2,team2,team2,team2,team2,team2,team1,team2,team2
2025-09-12T13:00:00Z,ESL Challenger League Season 50 Europe Cup 2,team1,Nexus,Zero Tenacity,1.0,0.0,https://www.hltv.org/matches/2385495/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA
2025-09-12T11:15:00Z,ESEA Advanced Season 54 Europe,team2,Phantom,Nuclear TigeRES,0.0,2.0,https://www.hltv.org/matches/2385531/-,t,ct,,team1,team1,team2,team2,team2,team1,team2,team2,team2,team1,team1,team1,team2,team2,team1,team1,team1,team1,team2,team2,team2,team2,team2,ct,t,,team1,team1,team2,team2,team2,team1,team2,team1,team1,team1,team2,team1,team2,team1,team1,team1,team1,team2,team2,team2,team2,team2,team2,,,,,,,,,,,,,,,,,,,,,,,,,,,team2,team2,NA
2025-09-12T13:00:00Z,ESL Challenger League Season 50 Europe Cup 2,team1,HOTU,Nemiga,1.0,0.0,https://www.hltv.org/matches/2385488/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA
2025-09-12T10:00:00Z,Exort The Proving Grounds Season 4,team2,ESC,RUBY,1.0,2.0,https://www.hltv.org/matches/2385451/-,t,ct,team1,team1,team2,team2,team2,team2,team1,team2,team1,team2,team1,team1,team1,team1,team1,team1,team1,team1,team2,team2,team2,team1,team2,team2,ct,t,team1,team2,team1,team2,team2,team2,team2,team2,team1,team1,team1,team1,team2,team2,team1,team2,team2,team2,team1,team2,team2,team2,team2,team2,ct,t,team1,team1,team1,team2,team2,team2,team2,team2,team2,team1,team1,team2,team1,team2,team2,team1,team2,team1,team2,team2,team2,team2,team2,team2,team1,team2,team2
2025-09-12T12:37:11Z,CCT Season 3 Europe Series 6,team1,Reason,Zero Tenacity,1.0,0.0,https://www.hltv.org/matches/2385446/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA
